id,code,name,level,track,group,focus,ok
,AUD5I026,Prototipado y comunicación de experiencias y servicios   ,troncal,I y S,Comunicación y Gestión del Diseño,Diseño de Servicios y Experiencia,0
,AUD5V023,Publicaciones editoriales experimentales       ,abierto,V y M,Morfología,Composición Editorial y Tipográfica,0
,AUD5V022,Puesta en valor desde el diseño patrimonio identidad y cultura,abierto,V y M,Comunicación y Gestión del Diseño,Patrimonio e Identidad,0
,AUDIV022,Realidad virtual para diseño y arquitectura    ,abierto,Ambas,Ciencia y Tecnología,Realidad Virtual y Aumentada,0
,AUD7I027,Reconocimiento y diseño de superficies textiles    ,abierto,I y S,Morfología,Morfología Textil y Superficies,0
,AUDIV030,Representación arquitectónica (gráfica tradicional)      ,abierto,Ambas,Morfología,Representación y Bocetaje (Sketching),0
,AUD5V028,Representación arquitectónica mediante gráficas tradicionales     ,abierto,V y M,Morfología,Representación y Bocetaje (Sketching),0
,AUDIV008,Semiótica         ,abierto,Ambas,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUDI5029,"Smart Cities, nuevas ciudades      ",abierto,Ambas,Comunicación y Gestión del Diseño,Vinculación Territorial y Social,0
,AUDIV026,Sociedad y Moda       ,abierto,Ambas,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD5V026,Taller de Ilustración       ,abierto,V y M,Morfología,Narrativa Visual e Ilustración,0
,AUD6I021,Taller de metalmecánica para diseñadores     ,abierto,I y S,Ciencia y Tecnología,Manufactura y Producción Industrial,0
,AUDIV034,Taller práctico de experimentación de materiales    ,abierto,Ambas,Ciencia y Tecnología,Laboratorio de Materiales y Oficios,0
,AUD5I027,Técnicas de intervención y experimentación textil    ,abierto,I y S,Morfología,Morfología Textil y Superficies,0
,"AUD6I017, AUDIV043",Tensoestructuras         ,abierto,I y S,Ciencia y Tecnología,Sistemas Constructivos y Estructuras,0
,AUD5I009,Teoría y práctica del diseño de calzado   ,abierto,I y S,Morfología,Oficios y Accesorios,0
,AUDIV061,Territorios periféricos        ,abierto,Ambas,Comunicación y Gestión del Diseño,Vinculación Territorial y Social,0
,AUD5V009,Tipografía         ,abierto,V y M,Morfología,Composición Editorial y Tipográfica,0
,AUD5V011,Tipografía: cultura y sociedad      ,abierto,V y M,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD7V007,Tipografía: Forma y función      ,abierto,V y M,Morfología,Composición Editorial y Tipográfica,0
,AUD7V017,"Ux UI, Experiencia de usuario e interfaz   ",abierto,V y M,Ciencia y Tecnología,Programación y Desarrollo Web,0
,AUD6V012,Vanguardias racionales-constructivas        ,abierto,V y M,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD7V011,Visualización de Datos       ,abierto,V y M,Comunicación y Gestión del Diseño,Comunicación Visual Estratégica,0
